uuid,date,isp,city,mbps
,2021-04-05,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Fes,11.408473228619997
,2024-09-12,Amobia Communications,Port Elizabeth,23.83926745218007
,2021-04-17,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Rabat,12.82810621807972
,2020-04-12,Snowball Effect CC,,2.316222461288589
,2021-06-25,Vodacom,Roodepoort,13.281276115794563
,2021-03-31,Hormuud Telecom Somalia INC,Baki,0.6680655488205502
,2021-01-28,TE-AS,Bilbeis,6.970357706620699
,2024-09-07,OTEL TELECOMS,Brits,32.05256194469461
,2024-06-19,Research and Education Network for Uganda,,4.13182231170901
,2023-03-18,Vox Telecom Ltd,Springs,8.709726508356924
,2022-03-26,South African Digital Villages (Pty) Ltd,Kempton Park,128.88850483389177
,2023-01-12,Reflex Solutions,Kempton Park,32.377799744465605
,2022-10-07,Telecom Algeria,Constantine,7.962311071380009
,2024-09-09,Vodacom Congo,Gemena,9.392901553732043
,2021-07-05,MTN SA,Lanseria,19.289177674790228
,2022-12-24,Ethio Telecom,Arba Minch,0.656530841262486
,2021-11-20,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Agadir,12.752314512498597
,2021-11-19,Telecom Algeria,Bougaa,0.0658291548799357
,2024-09-03,Web Squad Connect (Pty) Ltd,,67.44222011655786
,2022-10-30,Telkom SA Ltd.,Melville,40.283528114690185
,2024-03-27,SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS,Saint-Paul,145.6218093860311
,2022-09-05,Telecom Algeria,Maghnia,5.817937797657207
,2021-07-03,Telecom Algeria,Ain el Ksar,4.943605495180509
,2021-10-06,Vodacom,Vosloorus,2.437854320465069
,2020-08-15,Orange Mali SA,Bamako,14.031419746001792
,2023-07-09,Winrock Nigeria Limited,,7.017710622332999
,2023-08-22,ICTGlobe Management (Pty) Ltd,Kimberley,46.63651490070117
,2024-05-01,Tanzania Education And Research Network,Dar es Salaam,0.4138570600561773
,2024-07-18,OOREDOO TUNISIE SA,El Kef,11.880746251213331
,2022-12-13,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Tangier,20.363481023135428
,2020-08-06,Telkom SA Ltd.,Weltevreedenpark,4.558632811295189
,2023-08-03,Airtel Networks Kenya Limited,Mombasa,9.398864199604064
,2020-11-09,MTN SA,Somerset East,24.343831540791992
,2022-05-08,MTN SA,Middelburg,54.29350672029092
,2024-08-15,Liquid Telecommunications South Africa (Pty) Ltd,Uitenhage,20.465422810075957
,2021-03-18,TE-AS,Al Mansurah,5.951160670531366
,2023-02-26,Electronic Communications Network (PTY)  LTD,Centurion,1.0444022541706135
,2020-09-15,The Noor Group,Al Mansurah,0.1499636538148496
,2023-05-17,Afrihost (Pty) Ltd,Ceres,67.00635998606296
,2024-08-01,Vodacom,Wellington,238.4678061931846
,2022-03-20,Mawingu Networks Ltd,Nairobi,4.8642496477948765
,2020-10-22,Telecom Algeria,Maghnia,1.7323907134405834
,2020-03-11,Burundi Backbone System SM,,0.0088408840711582
,2021-07-19,Fastly,Accra,5.449999598741039
,2020-02-15,SPECTRANET LIMITED,Ibadan,8.056485019971353
,2020-05-03,Dimension Data (Pty) Ltd - Optinet,Hillcrest,12.56226129404743
,2023-08-11,MTN SA,Mbazwana,11.309292596864577
,2020-07-07,MTN SA,Malamulele,17.86688502618596
,2024-06-28,FIRSTNET TECHNOLOGY SERVICES (PTY) LTD,Durban,29.49911957473854
,2021-11-04,Afrihost (Pty) Ltd,Glenwood,30.763553480431288
,2023-07-06,Cybersmart,Yzerfontein,9.606555003637204
,2022-09-23,Broadbased Communications Limited,Lagos,13.223757290457083
,2020-12-13,Level 7 Wireless (Pty) Ltd,Johannesburg,17.831149758113735
,2021-04-14,TOPNET,Nabeul,5.681054362905225
,2021-09-18,Vodafone Data,Madinaty,0.1182039800094104
,2021-12-29,NATCOM Development and Investment Limited,Bwari,7.299147505257749
,2022-08-04,TENET (The UNINET Project),Nelspruit,128.07964380028983
,2024-03-14,Telkom SA Ltd.,Strand,54.4396450543779
,2023-03-23,Vox Telecom Ltd,,19.47511080231462
,2023-07-16,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Fes,15.760506708541431
,2020-05-07,Tanzania Education And Research Network,Dodoma,0.8094037773028885
,2022-01-06,Green Flash Trading,Gordons Bay,44.45435420091588
,2023-02-13,West Indian Ocean Cable Company,Secunda,38.014201032247854
,2022-05-05,Vodacom,Pretoria,20.63532931225723
,2024-06-18,MTN Network Solutions (Cameroon),Douala,23.022995425914896
,2022-08-05,Vodafone Data,Qalyubia,12.090577106364378
,2021-11-09,Safaricom Limited,Luanda,8.57866910868466
,2021-07-08,South African Digital Villages (Pty) Ltd,Umhlanga,80.16960534844684
,2023-06-16,Cipherwave,Alberton,242.25426252877836
,2023-08-22,Magnalec (Pty) Ltd t/a PacketSky,Midrand,88.07850121280683
,2020-12-03,Telecom Namibia,Outapi,1.300845677133539
,2022-06-06,Cobranet Limited,Lagos,5.455998669608376
,2022-07-14,MTN SA,Kempton Park,61.73430699158478
,2022-01-31,Telkom SA Ltd.,Kuruman,6.505630079243016
,2022-01-14,Vodafone Data,Kafr Shukr,36.35141124872564
,2024-01-20,Vodacom Congo,,8.216093061737329
,2023-03-31,TE-AS,Mit Ghamr,3.6287076445076174
,2024-09-05,Steam Broadcasting and Communications Limited,,11.506124188297438
,2020-02-03,ITEC Communications Pty Ltd,Johannesburg,10.464454804389982
,2022-08-27,Orange Tunisie,Masakin,15.221997476964354
,2020-08-28,Vodacom Congo,Mbanza-Ngungu,1.7485559082615183
,2021-01-14,Digital Energy Technologies Limited,,16.35446115996014
,2021-08-22,Vox Telecom Ltd,Carletonville,40.145501981966355
,2020-05-17,Vangibuzz (Pty) Ltd.,Lichtenburg,4.899392302900326
,2022-02-21,Tunisia BackBone AS,Ksar Hellal,9.952619541653052
,2020-01-25,Liquid Telecommunications Ltd,Nairobi,4.266343545902466
